TRADEDATE,consumer,metals_mining,oil_gas,consumer_log_return,metals_mining_log_return,oil_gas_log_return
2013-07-31,5756.14,2067.28,3190.08,-0.007106206218582045,-0.013338912722854701,-0.00833175566693889
2013-08-01,5803.19,2114.86,3232.74,0.008140655182330647,0.02275488290616856,0.013284079995255382
2013-08-02,5798.6,2101.75,3214.48,-7.912572524553241e-4,-0.006218285420634295,-0.005664472074643712
2013-08-05,5861.99,2114.55,3216.39,0.010872627279470137,0.006071692869637602,5.940098481733713e-4
2013-08-06,5786.37,2073.51,3140.74,-0.012983984416047534,-0.019599200446793752,-0.02380117167654383
2013-08-07,5785.59,2062.97,3134.03,-1.3480862380710334e-4,-0.0050961314019621895,-0.0021387246250323955
2013-08-08,5801.69,2064.76,3131.53,0.002778911075042245,8.673048441663056e-4,-7.980133085219165e-4
2013-08-09,5818.7,2139.23,3170.46,0.0029276146754604326,0.03543195430307122,0.012354984760897025
2013-08-12,5811.13,2162.57,3183.98,-0.0013018248880847239,0.010851378040809934,0.0042552987835868805
2013-08-13,5882.75,2182.24,3227.99,0.012249295446466135,0.009054542954229916,0.013727665954098356
2013-08-14,5914.1,2193.56,3271.64,0.005314990662897756,0.0051739225981650705,0.013431735728017813
2013-08-15,5810.18,2134.96,3210.54,-0.017727778865708643,-0.02707788365251229,-0.01885224094461968
2013-08-16,5718.71,2129.34,3186.92,-0.015868295969328372,-0.002635838591944051,-0.007384214149510626
2013-08-19,5673.91,2118.71,3181.13,-0.007864781046727387,-0.005004659637772413,-0.0018184535597303153
2013-08-20,5592.64,2098.15,3190.55,-0.014427026839127777,-0.00975140883053438,0.002956836144678121
2013-08-21,5612.18,2101.69,3205.91,0.0034877882568622454,0.0016857789050748195,0.004802665700701425
2013-08-22,5696.49,2151.55,3250.83,0.014910959837889592,0.023446729639855945,0.013914366922922028
2013-08-23,5694.47,2148.09,3240.88,-3.546672135037454e-4,-0.0016094374165591674,-0.003065450487364174
2013-08-26,5611.57,2139.04,3237.97,-0.014664990697774272,-0.004221944957526702,-8.983076304254212e-4
2013-08-27,5566.39,2122.73,3222.99,-0.008083808858650343,-0.007654134140390845,-0.004637090105001462
2013-08-28,5530.79,2101.88,3231.8,-0.00641606644669146,-0.009870813774289111,0.0027297574268718705
2013-08-29,5626.86,2108.74,3243.37,0.01722089762498591,0.0032584303829805705,0.003573655151409838
2013-08-30,5678.37,2102.15,3248.69,0.009112659618802255,-0.0031299822033190594,0.0016389254538093923
2013-09-02,5718.63,2109.53,3249.11,0.007065046497199745,0.0035045433429505835,1.2927452386435334e-4
2013-09-03,5743.44,2102.51,3268.29,0.00432906774197761,-0.0033333047643830938,0.005885799665650282
2013-09-04,5720.58,2109.74,3283.23,-0.003988135104341595,0.0034328480503891257,0.004560781588669016
2013-09-05,5773.82,2161.35,3409.13,0.009263707672898747,0.02416830931830205,0.03762943283950548
2013-09-06,5671.2,2157.45,3422.21,-0.017933170966843548,-0.001806057729044852,0.0038294144294415133
2013-09-09,5656.57,2191.94,3459.67,-0.0025830341072161644,0.01586002771249806,0.010886667590174426
2013-09-10,5658.73,2234.3,3433.64,3.81783960872184e-4,0.019140983454935423,-0.007552285831533112
2013-09-11,5682.3,2205.88,3444.39,0.004156594936342017,-0.012801457650390091,0.0031258976053880616
2013-09-12,5776.67,2208.34,3433.83,0.016471311744615136,0.0011145798146303676,-0.0030705642730115557
2013-09-13,5714.99,2179.43,3414.89,-0.010734844629316953,-0.013177727345142998,-0.005530974629959218
2013-09-16,5766.76,2234.78,3461.53,0.009017850211780143,0.025079414493712093,0.013565406191931473
2013-09-17,5726.62,2225.86,3476.26,-0.006984918831427933,-0.003999431422373689,0.004246315363619857
2013-09-18,5683.89,2229.14,3445.27,-0.007489621365341037,0.0014725030719002774,-0.008954727374733906
2013-09-19,5734.34,2277.73,3486.51,0.008836803655059455,0.021563472112756443,0.011898960030515937
2013-09-20,5749.14,2241.44,3462.32,0.0025776172718376955,-0.016060816512729836,-0.006962351278158252
2013-09-23,5755.02,2209.31,3445.6,0.0010222390008554072,-0.014438266880510753,-0.004840829844830807
2013-09-24,5740.77,2216.17,3441.56,-0.0024791697306074667,0.003100231158895461,-0.001173197795139913
2013-09-25,5754.57,2218.88,3476.54,0.002400974069384887,0.0012220833304157352,0.01011268935294396
2013-09-26,5798.38,2231.3,3488.97,0.007584246447638776,0.005581811183853702,0.0035690173998244035
2013-09-27,5770.94,2192.62,3492.3,-0.004743589330008291,-0.017487199450814117,9.539812247751911e-4
2013-09-30,5760.1,2165.41,3480.07,-0.0018801431949295733,-0.012487455839090167,-0.0035081364135578497
2013-10-01,5772.17,2176.74,3480.16,0.002093257339151222,0.005218624742795441,2.5861214357547624e-5
2013-10-02,5802.45,2164.46,3426.59,0.005232149146527476,-0.005657437000551546,-0.015512672173205289
2013-10-03,5763.36,2158.13,3435.94,-0.0067596041855058075,-0.002928801725276209,0.002724944236472737
